País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Japón,"434 Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",0.0,0.9,C,1.2,32.9,0.2,-41.5,18.9,72.6,77.1,95.1,44.8,93.0,33.8,23.3,259.8,84.8,31.9,829.2
Japón,4341 Comercio al por mayor de materias primas agropecuarias y forestales,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,4342 Comercio al por mayor de materias primas para la industria,0.0,0.0,C,1.2,C,0.2,-41.5,18.5,72.6,77.1,95.1,44.4,93.0,33.8,23.3,259.8,84.8,31.9,827.6
Japón,4343 Comercio al por mayor de materiales de desecho,0.0,C,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Japón,"435 Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general",34.6,22.4,2.3,-0.9,-24.5,-1.1,18.2,-11.9,17.1,46.8,30.9,19.3,23.3,15.3,21.9,18.2,11.7,C,245.9
Japón,4352 Comercio al por mayor de maquinaria y equipo para la industria,3.0,15.3,C,0.0,C,C,13.5,0.4,7.9,2.9,C,-3.4,10.2,13.2,1.9,C,4.0,0.0,86.9
Japón,4353 Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales,C,C,C,C,0.0,0.0,0.0,-2.7,1.6,45.1,26.8,13.7,13.1,1.9,17.1,15.0,8.5,C,142.2
Japón,"4354 Comercio al por mayor de mobiliario y equipo de cómputo y de oficina, y de otra maquinaria y equipo de uso general",C,C,C,0.0,C,C,4.7,C,7.6,-1.2,C,C,0.0,0.2,C,C,C,0.0,16.7
Japón,"436 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones",C,5.1,0.0,C,-22.0,0.0,-11.7,C,3.7,C,-2.4,C,C,C,3.6,C,C,C,144.4
Japón,"4361 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones",C,5.1,0.0,C,-22.0,0.0,-11.7,C,3.7,C,-2.4,C,C,C,3.6,C,C,C,144.4
Japón,437 Intermediación de comercio al por mayor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,-1.8,C,0.0,9.8,24.4,C,C,C,0.0,51.3
Japón,"4371 Intermediación de comercio al por mayor, excepto a través de internet y de otros medios electrónicos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,0.0,9.8,24.4,C,C,C,0.0,50.8
Japón,4372 Intermediación de comercio al por mayor exclusivamente a través de internet y otros medios electrónicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Japón,46 Comercio al por menor,C,-0.2,9.4,-8.1,3.6,6.9,33.1,34.1,28.4,C,C,C,21.3,C,25.9,C,C,0.0,193.7
